Driver,Relative metric,SET,Transfer learning,UV-MLE,MV-MLE,MV-MLE (PCA)
F10,RMSE,0.927,0.799,0.911,0.75,0.773
F10,MAPE,0.939,0.823,0.904,0.771,0.805
F10,R,1.005,1.024,1.013,1.029,1.028
S10,RMSE,0.854,0.735,0.738,0.731,0.703
S10,MAPE,0.835,0.758,0.755,0.803,0.736
S10,R,1.005,1.008,1.008,1.01,1.009
M10,RMSE,0.761,0.646,0.751,0.623,0.596
M10,MAPE,0.771,0.687,0.764,0.658,0.651
M10,R,1.019,1.026,1.021,1.029,1.029
Y10,RMSE,0.971,0.836,0.999,0.834,0.832
Y10,MAPE,0.996,0.865,1.136,0.863,0.87
Y10,R,1.003,1.009,1.002,1.01,1.009
